Categories,Total,All Years
Chemistry/Food chemistry,234,"[0, 0, 0, 2, 14, 1, 0, 0, 1, 5, 1, 0, 1, 0, 0, 4, 0, 1, 3, 3, 4, 2, 8, 10, 9, 4, 9, 10, 18, 14, 13, 10, 30, 27, 15, 10, 5]"
Chemistry/Pharmaceuticals,117,"[4, 15, 2, 3, 14, 0, 1, 1, 6, 5, 1, 2, 2, 10, 2, 0, 0, 0, 4, 4, 0, 0, 1, 0, 2, 0, 2, 1, 4, 1, 3, 5, 7, 10, 2, 3, 0]"
Chemistry/Biotechnology,49,"[1, 14, 1, 2, 14, 0, 0, 1, 2, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0]"
Mechanical engineering/Other special machines,22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 3, 5, 0, 3, 0, 1, 1, 1]"
Chemistry/Organic fine chemistry,13,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 1, 0]"
Instruments/Medical technology,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
"Chemistry/Macromolecular chemistry, polymers",4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0]"
Chemistry/Chemical engineering,2,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Instruments/Measurement,2,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Mechanical engineering/Mechanical elements,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
